FID,x,y,lineament_dens,drainage_dens,curah_hujan,slope,elevasi,litologi_Alluvial,litologi_Batigamping,litologi_Batuan_Sedimen,litologi_Batugamping,litologi_Breksi_Gunung_Api,litologi_Breksi_dan_Piroklastik_Muda,litologi_Breksi_dan_Piroklastik_Tua,litologi_Volkanoklastik,potensi
122,108.2928,-7.433560000000001,0.49740100000000004,309.9325,250,3,8,0,0,0,0,0,0,0,1,1
123,108.2978,-7.433560000000001,0.524288,309.9325,250,3,9,0,0,0,0,0,0,0,1,1
124,108.3028,-7.433560000000001,0.5511739999999999,309.9325,250,4,9,0,0,0,0,0,0,0,1,1
125,108.3078,-7.433560000000001,0.5780609999999999,329.9282,250,5,10,0,0,0,0,0,0,0,1,1
126,108.3128,-7.433560000000001,0.5780609999999999,329.9282,250,5,11,0,0,0,0,0,0,0,1,1
127,108.3178,-7.433560000000001,0.5780609999999999,349.9238,250,5,13,0,0,0,0,0,0,0,1,1
128,108.3228,-7.433560000000001,0.5780609999999999,349.9238,250,5,12,0,0,0,0,0,0,0,1,1
129,108.3278,-7.433560000000001,0.5511739999999999,349.9238,250,5,10,0,0,0,0,0,0,0,1,1
130,108.3329,-7.433560000000001,0.524288,369.9194,250,4,8,0,0,0,0,0,0,0,1,1
131,108.3379,-7.433560000000001,0.49740100000000004,369.9194,250,3,7,0,0,0,0,0,0,0,1,1
132,108.3429,-7.433560000000001,0.49740100000000004,369.9194,250,4,7,0,0,0,0,0,0,0,1,1
133,108.3479,-7.433560000000001,0.47051499999999996,349.9238,250,4,7,0,0,0,0,0,0,0,1,1
134,108.3529,-7.433560000000001,0.47051499999999996,349.9238,250,2,8,0,0,0,0,0,0,0,1,1
135,108.1275,-7.429889999999999,0.47051499999999996,189.9586,250,2,6,0,0,1,0,0,0,0,0,1
136,108.1325,-7.429889999999999,0.47051499999999996,189.9586,250,2,6,0,0,1,0,0,0,0,0,1
137,108.1375,-7.429889999999999,0.47051499999999996,189.9586,250,2,6,0,0,1,0,0,0,0,0,1
138,108.1426,-7.429889999999999,0.49740100000000004,189.9586,250,3,6,0,0,1,0,0,0,0,0,1
139,108.1476,-7.429889999999999,0.524288,169.963,250,2,6,0,0,1,0,0,0,0,0,1
140,108.1526,-7.429889999999999,0.5511739999999999,169.963,250,2,6,0,0,1,0,0,0,0,0,1
141,108.1576,-7.429889999999999,0.6049479999999999,169.963,250,3,5,0,0,1,0,0,0,0,0,1
142,108.1626,-7.429889999999999,0.631834,169.963,250,3,5,0,0,1,0,0,0,0,0,1
143,108.1676,-7.429889999999999,0.658721,169.963,250,4,6,0,0,1,0,0,0,0,0,1
144,108.1726,-7.429889999999999,0.658721,169.963,250,4,5,0,0,1,0,0,0,0,0,1
145,108.1776,-7.429889999999999,0.685607,189.9586,250,2,5,0,0,1,0,0,0,0,0,1
146,108.1826,-7.429889999999999,0.685607,189.9586,250,3,4,1,0,0,0,0,0,0,0,1
147,108.1876,-7.429889999999999,0.685607,209.9543,250,2,4,0,1,0,0,0,0,0,0,0
148,108.1926,-7.429889999999999,0.685607,209.9543,250,1,4,0,1,0,0,0,0,0,0,0
149,108.1976,-7.429889999999999,0.685607,209.9543,250,3,5,0,1,0,0,0,0,0,0,0
150,108.2027,-7.429889999999999,0.685607,209.9543,250,1,5,0,1,0,0,0,0,0,0,0
151,108.2077,-7.429889999999999,0.658721,209.9543,250,2,5,0,1,0,0,0,0,0,0,0
152,108.2127,-7.429889999999999,0.658721,209.9543,250,2,5,0,1,0,0,0,0,0,0,0
153,108.2177,-7.429889999999999,0.631834,209.9543,250,1,5,0,1,0,0,0,0,0,0,0
154,108.2227,-7.429889999999999,0.6049479999999999,189.9586,250,2,5,0,1,0,0,0,0,0,0,0
155,108.2277,-7.429889999999999,0.5780609999999999,189.9586,250,3,5,0,1,0,0,0,0,0,0,0
156,108.2728,-7.429889999999999,0.362969,269.9412,250,3,6,0,0,1,0,0,0,0,0,1
157,108.2728,-7.429889999999999,0.362969,269.9412,250,3,6,0,0,1,0,0,0,0,0,1
158,108.2778,-7.429889999999999,0.389855,289.9369,250,1,6,0,0,1,0,0,0,0,0,1
159,108.2828,-7.429889999999999,0.416742,289.9369,250,2,6,0,0,1,0,0,0,0,0,1
160,108.2878,-7.429889999999999,0.44362799999999997,289.9369,250,3,7,0,0,1,0,0,0,0,0,1
161,108.2928,-7.429889999999999,0.49740100000000004,289.9369,250,3,7,0,0,1,0,0,0,0,0,1
162,108.2978,-7.429889999999999,0.524288,309.9325,250,3,8,0,0,0,0,0,0,0,1,1
163,108.3028,-7.429889999999999,0.5511739999999999,309.9325,250,3,8,0,0,0,0,0,0,0,1,1
164,108.3078,-7.429889999999999,0.5780609999999999,309.9325,250,4,8,0,0,0,0,0,0,0,1,1
165,108.3128,-7.429889999999999,0.5780609999999999,329.9282,250,5,11,0,0,0,0,0,0,0,1,1
166,108.3178,-7.429889999999999,0.5780609999999999,329.9282,250,4,11,0,0,0,0,0,0,0,1,1
167,108.3228,-7.429889999999999,0.5511739999999999,349.9238,250,5,10,0,0,0,0,0,0,0,1,1
168,108.3278,-7.429889999999999,0.5511739999999999,349.9238,250,4,9,0,0,0,0,0,0,0,1,1
169,108.3329,-7.429889999999999,0.524288,349.9238,250,4,8,0,0,0,0,0,0,0,1,1
170,108.3379,-7.429889999999999,0.49740100000000004,369.9194,250,3,7,0,0,0,0,0,0,0,1,1
171,108.3429,-7.429889999999999,0.47051499999999996,349.9238,250,2,6,0,0,0,0,0,0,0,1,1
172,108.3479,-7.429889999999999,0.47051499999999996,349.9238,250,3,7,0,0,0,0,0,0,0,1,1
173,108.3529,-7.429889999999999,0.47051499999999996,329.9282,250,4,8,0,0,0,0,0,0,0,1,1
174,108.1275,-7.42622,0.49740100000000004,189.9586,250,3,6,0,0,1,0,0,0,0,0,1
175,108.1325,-7.42622,0.49740100000000004,189.9586,250,3,6,0,0,1,0,0,0,0,0,1
176,108.1375,-7.42622,0.49740100000000004,189.9586,250,3,6,0,0,1,0,0,0,0,0,1
177,108.1426,-7.42622,0.524288,189.9586,250,3,5,0,0,1,0,0,0,0,0,1
178,108.1476,-7.42622,0.5511739999999999,169.963,250,3,5,0,0,1,0,0,0,0,0,1
179,108.1526,-7.42622,0.5780609999999999,169.963,250,3,5,0,0,1,0,0,0,0,0,1
180,108.1576,-7.42622,0.631834,169.963,250,3,5,0,0,1,0,0,0,0,0,1
181,108.1626,-7.42622,0.658721,169.963,250,2,5,0,0,1,0,0,0,0,0,1
182,108.1676,-7.42622,0.685607,169.963,250,2,4,0,0,1,0,0,0,0,0,1
183,108.1726,-7.42622,0.685607,169.963,250,2,4,0,0,1,0,0,0,0,0,1
184,108.1776,-7.42622,0.712494,189.9586,250,3,5,0,0,1,0,0,0,0,0,1
185,108.1826,-7.42622,0.712494,189.9586,250,3,4,1,0,0,0,0,0,0,0,1
186,108.1876,-7.42622,0.685607,189.9586,250,2,4,0,1,0,0,0,0,0,0,0
187,108.1926,-7.42622,0.685607,209.9543,250,2,4,0,1,0,0,0,0,0,0,0
188,108.1976,-7.42622,0.685607,209.9543,250,3,4,0,1,0,0,0,0,0,0,0
189,108.2027,-7.42622,0.685607,209.9543,250,3,4,0,1,0,0,0,0,0,0,0
190,108.2077,-7.42622,0.658721,209.9543,250,3,5,0,1,0,0,0,0,0,0,0
191,108.2127,-7.42622,0.658721,209.9543,250,1,5,0,1,0,0,0,0,0,0,0
192,108.2177,-7.42622,0.631834,189.9586,250,3,5,0,1,0,0,0,0,0,0,0
193,108.2227,-7.42622,0.6049479999999999,189.9586,250,1,6,0,1,0,0,0,0,0,0,0
194,108.2728,-7.42622,0.362969,269.9412,250,1,6,0,0,1,0,0,0,0,0,1
195,108.2778,-7.42622,0.389855,269.9412,250,2,6,0,0,1,0,0,0,0,0,1
196,108.2828,-7.42622,0.416742,289.9369,250,2,6,0,0,1,0,0,0,0,0,1
197,108.2878,-7.42622,0.44362799999999997,289.9369,250,3,6,0,0,1,0,0,0,0,0,1
198,108.2928,-7.42622,0.49740100000000004,289.9369,250,3,7,0,0,1,0,0,0,0,0,1
199,108.2978,-7.42622,0.524288,289.9369,250,3,7,0,0,1,0,0,0,0,0,1
200,108.3028,-7.42622,0.5511739999999999,289.9369,250,3,8,0,0,0,0,0,0,0,1,1
201,108.3078,-7.42622,0.5511739999999999,309.9325,250,3,8,0,0,0,0,0,0,0,1,1
202,108.3128,-7.42622,0.5780609999999999,309.9325,250,4,10,0,0,0,0,0,0,0,1,1
203,108.3178,-7.42622,0.5780609999999999,329.9282,250,4,10,0,0,0,0,0,0,0,1,1
204,108.3228,-7.42622,0.5511739999999999,329.9282,250,4,9,0,0,0,0,0,0,0,1,1
205,108.3278,-7.42622,0.524288,349.9238,250,3,9,0,0,0,0,0,0,0,1,1
206,108.3329,-7.42622,0.524288,349.9238,250,3,8,0,0,0,0,0,0,0,1,1
207,108.3379,-7.42622,0.49740100000000004,349.9238,250,4,7,0,0,0,0,0,0,0,1,1
208,108.3429,-7.42622,0.47051499999999996,349.9238,250,3,6,0,0,0,0,0,0,0,1,1
209,108.3479,-7.42622,0.44362799999999997,349.9238,250,3,6,0,0,0,0,0,0,0,1,1
210,108.3529,-7.42622,0.44362799999999997,329.9282,250,4,7,0,0,0,0,0,0,0,1,1
211,108.1275,-7.42255,0.49740100000000004,189.9586,250,2,6,0,0,1,0,0,0,0,0,1
212,108.1325,-7.42255,0.524288,189.9586,250,2,6,0,0,1,0,0,0,0,0,1
213,108.1375,-7.42255,0.524288,189.9586,250,2,5,0,0,1,0,0,0,0,0,1
214,108.1426,-7.42255,0.5511739999999999,189.9586,250,2,5,0,0,1,0,0,0,0,0,1
215,108.1476,-7.42255,0.5780609999999999,169.963,250,3,5,0,0,1,0,0,0,0,0,1
216,108.1526,-7.42255,0.6049479999999999,169.963,250,3,5,0,0,1,0,0,0,0,0,1
217,108.1576,-7.42255,0.631834,169.963,250,2,5,0,0,1,0,0,0,0,0,1
218,108.1626,-7.42255,0.658721,169.963,250,2,5,0,0,1,0,0,0,0,0,1
219,108.1676,-7.42255,0.685607,169.963,250,3,5,0,0,1,0,0,0,0,0,1
220,108.1726,-7.42255,0.712494,169.963,250,3,5,0,0,1,0,0,0,0,0,1
221,108.1776,-7.42255,0.712494,189.9586,250,2,4,0,0,1,0,0,0,0,0,1
222,108.1826,-7.42255,0.712494,189.9586,250,3,5,1,0,0,0,0,0,0,0,1
223,108.1876,-7.42255,0.712494,189.9586,250,2,4,0,1,0,0,0,0,0,0,1
224,108.1926,-7.42255,0.685607,209.9543,250,2,4,0,1,0,0,0,0,0,0,0
225,108.1976,-7.42255,0.685607,209.9543,250,2,4,0,1,0,0,0,0,0,0,0
226,108.2027,-7.42255,0.658721,209.9543,250,2,4,0,1,0,0,0,0,0,0,0
227,108.2077,-7.42255,0.658721,209.9543,250,3,5,0,1,0,0,0,0,0,0,0
228,108.2127,-7.42255,0.631834,189.9586,250,2,5,0,1,0,0,0,0,0,0,0
229,108.2177,-7.42255,0.6049479999999999,189.9586,250,2,5,0,1,0,0,0,0,0,0,0
230,108.2678,-7.42255,0.362969,229.9499,250,2,6,0,0,0,0,0,1,0,0,1
