FID,x,y,lineament_dens,drainage_dens,curah_hujan,litologi,slope,elevasi,potensi
1571,108.2577,-7.20237,0.497401,289.9369,350,Breksi_dan_Piroklastik_Tua,5,19,Buruk
1572,108.2627,-7.20237,0.524288,309.9325,350,Breksi_dan_Piroklastik_Tua,4,18,Buruk
1573,108.2678,-7.20237,0.551174,309.9325,350,Breksi_dan_Piroklastik_Tua,5,19,Buruk
1574,108.2728,-7.20237,0.551174,309.9325,350,Breksi_dan_Piroklastik_Tua,4,20,Buruk
1575,108.2778,-7.20237,0.578061,309.9325,350,Breksi_dan_Piroklastik_Tua,5,18,Buruk
1576,108.2828,-7.20237,0.578061,289.9369,350,Breksi_dan_Piroklastik_Tua,5,19,Buruk
1577,108.2878,-7.20237,0.578061,289.9369,350,Breksi_dan_Piroklastik_Tua,5,18,Buruk
1578,108.2928,-7.20237,0.578061,289.9369,350,Breksi_dan_Piroklastik_Tua,5,17,Buruk
1579,108.3078,-7.20237,0.551174,269.9412,350,Breksi_dan_Piroklastik_Tua,4,18,Buruk
1580,108.3128,-7.20237,0.524288,249.9456,350,Breksi_dan_Piroklastik_Tua,5,16,Buruk
1581,108.3178,-7.20237,0.524288,249.9456,350,Breksi_dan_Piroklastik_Tua,5,14,Buruk
1582,108.3228,-7.20237,0.497401,229.9499,350,Breksi_dan_Piroklastik_Tua,5,11,Buruk
1583,108.3278,-7.20237,0.470515,229.9499,350,Breksi_dan_Piroklastik_Tua,3,11,Buruk
1584,108.3329,-7.20237,0.416742,209.9543,350,Breksi_dan_Piroklastik_Tua,3,10,Buruk
1585,108.3379,-7.20237,0.389855,209.9543,350,Breksi_dan_Piroklastik_Tua,3,9,Buruk
1586,108.3429,-7.20237,0.336082,209.9543,350,Breksi_dan_Piroklastik_Tua,3,8,Buruk
1587,108.3479,-7.20237,0.309195,209.9543,350,Breksi_dan_Piroklastik_Tua,3,7,Buruk
1588,108.3529,-7.20237,0.255422,209.9543,350,Breksi_dan_Piroklastik_Tua,2,6,Buruk
1589,108.1275,-7.1987,0.336082,269.9412,350,Breksi_dan_Piroklastik_Muda,2,13,Buruk
1590,108.1325,-7.1987,0.336082,249.9456,350,Breksi_dan_Piroklastik_Muda,3,13,Buruk
1591,108.1375,-7.1987,0.309195,249.9456,350,Breksi_dan_Piroklastik_Muda,3,11,Buruk
1592,108.1426,-7.1987,0.282309,229.9499,350,Breksi_dan_Piroklastik_Muda,2,11,Buruk
1593,108.1476,-7.1987,0.255422,229.9499,350,Breksi_dan_Piroklastik_Muda,2,10,Buruk
1594,108.1776,-7.1987,0.147876,209.9543,350,Breksi_dan_Piroklastik_Muda,2,8,Buruk
1595,108.1826,-7.1987,0.174763,209.9543,350,Breksi_dan_Piroklastik_Muda,2,8,Buruk
1596,108.1876,-7.1987,0.174763,209.9543,350,Breksi_dan_Piroklastik_Muda,1,7,Buruk
1597,108.1926,-7.1987,0.201649,189.9586,350,Breksi_dan_Piroklastik_Muda,1,7,Buruk
1598,108.1976,-7.1987,0.228536,189.9586,350,Breksi_dan_Piroklastik_Muda,1,7,Buruk
1599,108.2477,-7.1987,0.416742,289.9369,350,Breksi_dan_Piroklastik_Tua,4,24,Buruk
1600,108.2527,-7.1987,0.443628,289.9369,350,Breksi_dan_Piroklastik_Tua,5,23,Buruk
1601,108.2577,-7.1987,0.443628,309.9325,350,Breksi_dan_Piroklastik_Tua,5,20,Buruk
1602,108.2627,-7.1987,0.470515,309.9325,350,Breksi_dan_Piroklastik_Tua,5,19,Buruk
1603,108.2678,-7.1987,0.497401,309.9325,350,Breksi_dan_Piroklastik_Tua,5,20,Buruk
1604,108.2728,-7.1987,0.497401,309.9325,350,Breksi_dan_Piroklastik_Tua,5,20,Buruk
1605,108.2778,-7.1987,0.497401,309.9325,350,Breksi_dan_Piroklastik_Tua,5,20,Buruk
1606,108.2828,-7.1987,0.524288,309.9325,350,Breksi_dan_Piroklastik_Tua,5,20,Buruk
1607,108.2878,-7.1987,0.524288,289.9369,350,Breksi_dan_Piroklastik_Tua,5,19,Buruk
1608,108.2928,-7.1987,0.497401,289.9369,350,Breksi_dan_Piroklastik_Tua,5,19,Buruk
1609,108.2978,-7.1987,0.497401,289.9369,350,Breksi_dan_Piroklastik_Tua,5,17,Buruk
1610,108.3078,-7.1987,0.470515,269.9412,350,Breksi_dan_Piroklastik_Tua,3,18,Buruk
1611,108.3128,-7.1987,0.470515,249.9456,350,Breksi_dan_Piroklastik_Tua,5,16,Buruk
1612,108.3178,-7.1987,0.443628,249.9456,350,Breksi_dan_Piroklastik_Tua,5,14,Buruk
1613,108.3228,-7.1987,0.443628,229.9499,350,Breksi_dan_Piroklastik_Tua,5,11,Buruk
1614,108.3278,-7.1987,0.416742,209.9543,350,Breksi_dan_Piroklastik_Tua,4,10,Buruk
1615,108.3329,-7.1987,0.362969,209.9543,350,Breksi_dan_Piroklastik_Tua,4,9,Buruk
1616,108.3379,-7.1987,0.336082,209.9543,350,Breksi_dan_Piroklastik_Tua,4,8,Buruk
1617,108.3429,-7.1987,0.309195,209.9543,350,Breksi_dan_Piroklastik_Tua,3,8,Buruk
